start_id,end_id,type
81,1,SUPERVISES
1,61,SUPERVISES
61,71,SUPERVISES
71,31,SUPERVISES
31,91,SUPERVISES
91,41,SUPERVISES
41,51,SUPERVISES
51,21,SUPERVISES
21,11,SUPERVISES
72,12,SUPERVISES
12,32,SUPERVISES
32,62,SUPERVISES
62,2,SUPERVISES
2,52,SUPERVISES
52,22,SUPERVISES
22,82,SUPERVISES
82,42,SUPERVISES
42,92,SUPERVISES
83,53,SUPERVISES
53,63,SUPERVISES
63,73,SUPERVISES
73,3,SUPERVISES
3,23,SUPERVISES
23,43,SUPERVISES
43,13,SUPERVISES
13,33,SUPERVISES
33,93,SUPERVISES
74,84,SUPERVISES
84,94,SUPERVISES
94,34,SUPERVISES
34,24,SUPERVISES
24,64,SUPERVISES
64,44,SUPERVISES
44,4,SUPERVISES
4,54,SUPERVISES
54,14,SUPERVISES
35,85,SUPERVISES
85,15,SUPERVISES
15,55,SUPERVISES
55,95,SUPERVISES
95,25,SUPERVISES
25,5,SUPERVISES
5,65,SUPERVISES
65,45,SUPERVISES
45,75,SUPERVISES
56,96,SUPERVISES
96,76,SUPERVISES
76,36,SUPERVISES
36,26,SUPERVISES
26,46,SUPERVISES
46,86,SUPERVISES
86,16,SUPERVISES
16,6,SUPERVISES
6,66,SUPERVISES
17,37,SUPERVISES
37,7,SUPERVISES
7,67,SUPERVISES
67,77,SUPERVISES
77,27,SUPERVISES
27,87,SUPERVISES
87,57,SUPERVISES
57,97,SUPERVISES
97,47,SUPERVISES
58,68,SUPERVISES
68,98,SUPERVISES
98,48,SUPERVISES
48,18,SUPERVISES
18,28,SUPERVISES
28,8,SUPERVISES
8,78,SUPERVISES
78,38,SUPERVISES
38,88,SUPERVISES
49,29,SUPERVISES
29,39,SUPERVISES
39,59,SUPERVISES
59,99,SUPERVISES
99,19,SUPERVISES
19,89,SUPERVISES
89,69,SUPERVISES
69,9,SUPERVISES
9,79,SUPERVISES
90,10,SUPERVISES
10,100,SUPERVISES
100,50,SUPERVISES
50,40,SUPERVISES
40,20,SUPERVISES
20,70,SUPERVISES
70,60,SUPERVISES
60,80,SUPERVISES
80,30,SUPERVISES

